order_id,customer,amount,order_date
999,bob,n/a,2026-13-01
1001,carol,369.55,2026-05-07
1002,bob,297.29,2026-07-28
1003,alice,51.38,2026-07-03
1004,alice,282.82,2026-05-02
1005, bob,114.12,2026-05-18
1006,erin,405.67,2026-08-01
1007,carol,350.58,2026-06-19
1008,erin,81.96,2026-04-26
1009,ALICE ,55.59,2026-06-14
1010,bob,182.69,2026-06-18
1011,erin,404.53,2026-04-30
1012,carol,270.43,2026-04-05
1013, bob,44.01,2026-06-25
1014,ALICE ,290.79,2026-05-03
1014,bob,27.68,2026-07-03
1016,erin,492.68,2026-04-14
1017,dave,433.91,2026-06-14
1018,erin,229.44,n/a
1019,ALICE ,85.51,2026-06-17
1020,dave,336.74,2026-05-04
1021,bob,306.52,2026-07-11
1022,dave,37253.71,2026-04-05
1023,dave,343.88,2026-04-16
1024,alice,118.38,2026-07-28
1025,ALICE ,203.58,2026-07-24
1026,dave,457.0,2026-05-21
1027,ALICE ,110.25,2026-05-30
1028, bob,442.92,2026-05-11
1029,carol,75.72,2026-07-15
1029,dave,n/a,2026-05-25
1031,erin,374.77,2026-06-08
1032, bob,184.19,2026-07-15
1033,carol,50.0,2026-07-26
1034,bob,80.66,2026-07-12
1035, bob,300.22,2026-06-13
1036, bob,299.96,n/a
1037,erin,485.68,2026-04-13
1038,alice,341.74,2026-07-18
1039,erin,385.46,2026-06-19
1040,bob,150.28,2026-07-12
1041,carol,6.61,2026-05-01
1042,erin,486.08,2026-04-26
1043,carol,256.3,2026-07-19
1044,erin,48151.34,2026-07-07
1044,carol,190.09,2026-13-01
1046,alice,301.48,2026-05-31
1047,alice,60.37,2026-06-16
1048,erin,123.53,2026-07-02
1049,bob,47.4,2026-05-31
1050,bob,489.1,2026-05-25
1051,carol,68.55,2026-06-02
1052,carol,136.2,2026-04-12
1053, bob,482.36,2026-04-05
1054,dave,357.91,n/a
1055,ALICE ,221.86,2026-05-27
1056,carol,64.9,2026-07-04
1057,bob,172.35,2026-05-18
1058,dave,296.28,2026-08-01
1059,bob,355.38,2026-07-25
1059,dave,n/a,2026-07-28
1061,ALICE ,40.07,2026-07-02
1062,erin,336.14,2026-07-05
1063,carol,363.06,2026-04-11
1064,carol,125.28,2026-06-02
1065, bob,99.25,2026-07-20
1066, bob,39943.69,2026-04-13
1067,alice,338.32,2026-05-11
1068,bob,35.0,2026-04-30
1069,ALICE ,401.29,2026-07-19
1070,dave,99.84,2026-05-25
1071,carol,74.39,2026-07-09
1072,erin,234.0,n/a
1073,bob,224.35,2026-04-13
1074,bob,30.04,2026-05-24
1074,alice,484.65,2026-04-05
1076,dave,87.32,2026-05-31
1077,carol,110.8,2026-06-11
1078,alice,86.5,2026-08-01
1079, bob,136.28,2026-04-23
1080,carol,146.2,2026-05-04
1081,carol,81.62,2026-06-25
1082,dave,484.51,2026-05-19
1083,alice,375.25,2026-07-25
1084,alice,294.17,2026-05-29
1085,carol,33.16,2026-05-28
1086,bob,426.41,2026-07-24
1087,bob,339.23,2026-07-02
1088, bob,80674.42,2026-07-01
1089,alice,311.59,2026-06-09
1089,ALICE ,n/a,2026-13-01
1091,ALICE ,123.15,2026-06-12
1092,carol,337.49,2026-06-24
1093,carol,161.51,2026-04-27
1094,bob,9.61,2026-05-14
1095,bob,41.26,2026-07-05
1096,erin,70.57,2026-06-18
1097,bob,440.24,2026-06-15
1098,erin,83.08,2026-04-17
1099,erin,307.78,2026-04-20
1100,alice,335.59,2026-05-23
1101,erin,466.22,2026-07-19
1102,carol,135.91,2026-04-10
1103,bob,372.5,2026-07-13
1104,erin,144.47,2026-07-06
1104,ALICE ,105.78,2026-05-12
1106,erin,255.18,2026-06-30
1107,alice,50.69,2026-06-08
1108,erin,26.82,n/a
1109,carol,320.37,2026-06-29
1110,carol,51892.84,2026-06-08
1111,alice,60.38,2026-04-03
1112,carol,275.07,2026-04-17
1113,ALICE ,293.34,2026-07-14
1114, bob,68.09,2026-06-23
1115,ALICE ,450.0,2026-04-22
1116,alice,449.97,2026-07-06
1117,dave,335.13,2026-06-17
1118, bob,487.05,2026-04-28
